Infinitive,сплета́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сплета́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплета́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сплета́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сплета́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сплета́юсь
2nd Sing,сплета́ешься
3rd Sing,сплета́ется
1st Pl,сплета́емся
2nd Pl,сплета́етесь
3rd Pl,сплета́ются
Past M,сплета́лся
Past F,сплета́лась
Past N,сплета́лось
Past PL,сплета́лись
Imp S,сплета́йся
Imp PL,сплета́йтесь
