Infinitive,спохва́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спохва́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спохва́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спохва́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спохва́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спохва́тываюсь
2nd Sing,спохва́тываешься
3rd Sing,спохва́тывается
1st Pl,спохва́тываемся
2nd Pl,спохва́тываетесь
3rd Pl,спохва́тываются
Past M,спохва́тывался
Past F,спохва́тывалась
Past N,спохва́тывалось
Past PL,спохва́тывались
Imp S,спохва́тывайся
Imp PL,спохва́тывайтесь
