Infinitive,спе́шиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спе́шившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спе́шившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спе́шусь
2nd Sing,спе́шишься
3rd Sing,спе́шится
1st Pl,спе́шимся
2nd Pl,спе́шитесь
3rd Pl,спе́шатся
Past M,спе́шился
Past F,спе́шилась
Past N,спе́шилось
Past PL,спе́шились
Imp S,спе́шься
Imp PL,спе́шьтесь
