Infinitive,справля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,справля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,справля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,справля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,справля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,справля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,справля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,справля́ю
2nd Sing,справля́ешь
3rd Sing,справля́ет
1st Pl,справля́ем
2nd Pl,справля́ете
3rd Pl,справля́ют
Past M,справля́л
Past F,справля́ла
Past N,справля́ло
Past PL,справля́ли
Imp S,справля́й
Imp PL,справля́йте
