Infinitive,спря́тать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спря́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спря́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спря́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спря́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спря́чу
2nd Sing,спря́чешь
3rd Sing,спря́чет
1st Pl,спря́чем
2nd Pl,спря́чете
3rd Pl,спря́чут
Past M,спря́тал
Past F,спря́тала
Past N,спря́тало
Past PL,спря́тали
Imp S,спря́чь
Imp PL,спря́чьте
