Infinitive,сплоти́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сплоти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплоти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сплочу́сь
2nd Sing,сплоти́шься
3rd Sing,сплоти́тся
1st Pl,сплоти́мся
2nd Pl,сплоти́тесь
3rd Pl,сплотя́тся
Past M,сплоти́лся
Past F,сплоти́лась
Past N,сплоти́лось
Past PL,сплоти́лись
Imp S,сплоти́сь
Imp PL,сплоти́тесь
