Infinitive,сплоти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сплоти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплочённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сплоти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сплоти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сплочу́
2nd Sing,сплоти́шь
3rd Sing,сплоти́т
1st Pl,сплоти́м
2nd Pl,сплоти́те
3rd Pl,сплотя́т
Past M,сплоти́л
Past F,сплоти́ла
Past N,сплоти́ло
Past PL,сплоти́ли
Imp S,сплоти́
Imp PL,сплоти́те
