Infinitive,сполосну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сполосну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,споло́снутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сполосну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сполосну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сполосну́
2nd Sing,сполоснёшь
3rd Sing,сполоснёт
1st Pl,сполоснём
2nd Pl,сполоснёте
3rd Pl,сполосну́т
Past M,сполосну́л
Past F,сполосну́ла
Past N,сполосну́ло
Past PL,сполосну́ли
Imp S,сполосни́
Imp PL,сполосни́те
