Infinitive,спря́таться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спря́тавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спря́тавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спря́чусь
2nd Sing,спря́чешься
3rd Sing,спря́чется
1st Pl,спря́чемся
2nd Pl,спря́четесь
3rd Pl,спря́чутся
Past M,спря́тался
Past F,спря́талась
Past N,спря́талось
Past PL,спря́тались
Imp S,спря́чься
Imp PL,спря́чьтесь
