Infinitive,спекули́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спекули́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спекули́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спекули́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спекули́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,спекули́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,спекули́рую
2nd Sing,спекули́руешь
3rd Sing,спекули́рует
1st Pl,спекули́руем
2nd Pl,спекули́руете
3rd Pl,спекули́руют
Past M,спекули́ровал
Past F,спекули́ровала
Past N,спекули́ровало
Past PL,спекули́ровали
Imp S,спекули́руй
Imp PL,спекули́руйте
