Infinitive,сплести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сплётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплетённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сплетя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сплётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сплету́
2nd Sing,сплетёшь
3rd Sing,сплетёт
1st Pl,сплетём
2nd Pl,сплетёте
3rd Pl,сплету́т
Past M,сплёл
Past F,сплела́
Past N,сплело́
Past PL,сплели́
Imp S,сплети́
Imp PL,сплети́те
