Infinitive,спра́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спра́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спра́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спра́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спра́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спра́шиваюсь
2nd Sing,спра́шиваешься
3rd Sing,спра́шивается
1st Pl,спра́шиваемся
2nd Pl,спра́шиваетесь
3rd Pl,спра́шиваются
Past M,спра́шивался
Past F,спра́шивалась
Past N,спра́шивалось
Past PL,спра́шивались
Imp S,спра́шивайся
Imp PL,спра́шивайтесь
