Infinitive,сплести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сплётшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплетя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сплётшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сплету́сь
2nd Sing,сплетёшься
3rd Sing,сплетётся
1st Pl,сплетёмся
2nd Pl,сплетётесь
3rd Pl,сплету́тся
Past M,сплёлся
Past F,сплела́сь
Past N,сплело́сь
Past PL,сплели́сь
Imp S,сплети́сь
Imp PL,сплети́тесь
