Infinitive,списа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,списа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,списа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,списа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спишу́
2nd Sing,спи́шешь
3rd Sing,спи́шет
1st Pl,спи́шем
2nd Pl,спи́шете
3rd Pl,спи́шут
Past M,списа́л
Past F,списа́ла
Past N,списа́ло
Past PL,списа́ли
Imp S,спиши́
Imp PL,спиши́те
