Infinitive,спугну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спугну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спу́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спугну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спугну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спугну́
2nd Sing,спугнёшь
3rd Sing,спугнёт
1st Pl,спугнём
2nd Pl,спугнёте
3rd Pl,спугну́т
Past M,спугну́л
Past F,спугну́ла
Past N,спугну́ло
Past PL,спугну́ли
Imp S,спугни́
Imp PL,спугни́те
