Infinitive,сплю́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сплю́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплю́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сплю́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сплю́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сплю́ну
2nd Sing,сплю́нешь
3rd Sing,сплю́нет
1st Pl,сплю́нем
2nd Pl,сплю́нете
3rd Pl,сплю́нут
Past M,сплю́нул
Past F,сплю́нула
Past N,сплю́нуло
Past PL,сплю́нули
Imp S,сплю́нь
Imp PL,сплю́ньте
