Infinitive,спотыка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спотыка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спотыка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спотыка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спотыка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спотыка́юсь
2nd Sing,спотыка́ешься
3rd Sing,спотыка́ется
1st Pl,спотыка́емся
2nd Pl,спотыка́етесь
3rd Pl,спотыка́ются
Past M,спотыка́лся
Past F,спотыка́лась
Past N,спотыка́лось
Past PL,спотыка́лись
Imp S,спотыка́йся
Imp PL,спотыка́йтесь
