Infinitive,сплани́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сплани́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплани́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сплани́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сплани́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сплани́рую
2nd Sing,сплани́руешь
3rd Sing,сплани́рует
1st Pl,сплани́руем
2nd Pl,сплани́руете
3rd Pl,сплани́руют
Past M,сплани́ровал
Past F,сплани́ровала
Past N,сплани́ровало
Past PL,сплани́ровали
Imp S,сплани́руй
Imp PL,сплани́руйте
