Infinitive,спле́тничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спле́тничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спле́тничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спле́тничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спле́тничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,спле́тничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,спле́тничаю
2nd Sing,спле́тничаешь
3rd Sing,спле́тничает
1st Pl,спле́тничаем
2nd Pl,спле́тничаете
3rd Pl,спле́тничают
Past M,спле́тничал
Past F,спле́тничала
Past N,спле́тничало
Past PL,спле́тничали
Imp S,спле́тничай
Imp PL,спле́тничайте
