Infinitive,спеши́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спеша́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спеши́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спеша́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спеши́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,спеши́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,спешу́
2nd Sing,спеши́шь
3rd Sing,спеши́т
1st Pl,спеши́м
2nd Pl,спеши́те
3rd Pl,спеша́т
Past M,спеши́л
Past F,спеши́ла
Past N,спеши́ло
Past PL,спеши́ли
Imp S,спеши́
Imp PL,спеши́те
