Infinitive,спра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спра́влюсь
2nd Sing,спра́вишься
3rd Sing,спра́вится
1st Pl,спра́вимся
2nd Pl,спра́витесь
3rd Pl,спра́вятся
Past M,спра́вился
Past F,спра́вилась
Past N,спра́вилось
Past PL,спра́вились
Imp S,спра́вься
Imp PL,спра́вьтесь
