Infinitive,спра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спра́влю
2nd Sing,спра́вишь
3rd Sing,спра́вит
1st Pl,спра́вим
2nd Pl,спра́вите
3rd Pl,спра́вят
Past M,спра́вил
Past F,спра́вила
Past N,спра́вило
Past PL,спра́вили
Imp S,спра́вь
Imp PL,спра́вьте
