Infinitive,спусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спущу́
2nd Sing,спу́стишь
3rd Sing,спу́стит
1st Pl,спу́стим
2nd Pl,спу́стите
3rd Pl,спу́стят
Past M,спусти́л
Past F,спусти́ла
Past N,спусти́ло
Past PL,спусти́ли
Imp S,спусти́
Imp PL,спусти́те
