Infinitive,спровоци́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спровоци́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спровоци́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спровоци́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спровоци́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спровоци́рую
2nd Sing,спровоци́руешь
3rd Sing,спровоци́рует
1st Pl,спровоци́руем
2nd Pl,спровоци́руете
3rd Pl,спровоци́руют
Past M,спровоци́ровал
Past F,спровоци́ровала
Past N,спровоци́ровало
Past PL,спровоци́ровали
Imp S,спровоци́руй
Imp PL,спровоци́руйте
