Infinitive,спихну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спихну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спи́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спихну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спихну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спихну́
2nd Sing,спихнёшь
3rd Sing,спихнёт
1st Pl,спихнём
2nd Pl,спихнёте
3rd Pl,спихну́т
Past M,спихну́л
Past F,спихну́ла
Past N,спихну́ло
Past PL,спихну́ли
Imp S,спихни́
Imp PL,спихни́те
