Infinitive,споткну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,споткну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,споткну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,споткну́сь
2nd Sing,споткнёшься
3rd Sing,споткнётся
1st Pl,споткнёмся
2nd Pl,споткнётесь
3rd Pl,споткну́тся
Past M,споткну́лся
Past F,споткну́лась
Past N,споткну́лось
Past PL,споткну́лись
Imp S,споткни́сь
Imp PL,споткни́тесь
