Infinitive,спря́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спря́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спря́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,спрягу́
2nd Sing,спряжёшь
3rd Sing,спряжёт
1st Pl,спряжём
2nd Pl,спряжёте
3rd Pl,спрягу́т
Past M,спря́г
Past F,спрягла́
Past N,спрягло́
Past PL,спрягли́
Imp S,спряги́
Imp PL,спряги́те
