Infinitive,спры́гнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спры́гнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спры́гнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,спры́гнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,спры́гну
2nd Sing,спры́гнешь
3rd Sing,спры́гнет
1st Pl,спры́гнем
2nd Pl,спры́гнете
3rd Pl,спры́гнут
Past M,спры́гнул
Past F,спры́гнула
Past N,спры́гнуло
Past PL,спры́гнули
Imp S,спры́гни
Imp PL,спры́гните
