Infinitive,спроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спрошу́
2nd Sing,спро́сишь
3rd Sing,спро́сит
1st Pl,спро́сим
2nd Pl,спро́сите
3rd Pl,спро́сят
Past M,спроси́л
Past F,спроси́ла
Past N,спроси́ло
Past PL,спроси́ли
Imp S,спроси́
Imp PL,спроси́те
