Infinitive,спе́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спёкшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спёкшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спеку́сь
2nd Sing,спечёшься
3rd Sing,спечётся
1st Pl,спечёмся
2nd Pl,спечётесь
3rd Pl,спеку́тся
Past M,спёкся
Past F,спекла́сь
Past N,спекло́сь
Past PL,спекли́сь
Imp S,спеки́сь
Imp PL,спеки́тесь
