Infinitive,справля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,справля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,справля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,справля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,справля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,справля́юсь
2nd Sing,справля́ешься
3rd Sing,справля́ется
1st Pl,справля́емся
2nd Pl,справля́етесь
3rd Pl,справля́ются
Past M,справля́лся
Past F,справля́лась
Past N,справля́лось
Past PL,справля́лись
Imp S,справля́йся
Imp PL,справля́йтесь
