Infinitive,специализи́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,специализи́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,специализи́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,специализи́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,специализи́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,специализи́руюсь
2nd Sing,специализи́руешься
3rd Sing,специализи́руется
1st Pl,специализи́руемся
2nd Pl,специализи́руетесь
3rd Pl,специализи́руются
Past M,специализи́ровался
Past F,специализи́ровалась
Past N,специализи́ровалось
Past PL,специализи́ровались
Imp S,специализи́руйся
Imp PL,специализи́руйтесь
