Infinitive,спа́сться
Zaliznyak Class,7b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спаду́сь
2nd Sing,спадёшься
3rd Sing,спадётся
1st Pl,спадёмся
2nd Pl,спадётесь
3rd Pl,спаду́тся
Past M,спа́лся
Past F,спа́лась
Past N,спа́лось
Past PL,спа́лись
Imp S,спади́сь
Imp PL,спади́тесь
