Infinitive,спасти́сь
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спа́сшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спа́сшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спасу́сь
2nd Sing,спасёшься
3rd Sing,спасётся
1st Pl,спасёмся
2nd Pl,спасётесь
3rd Pl,спасу́тся
Past M,спа́сся
Past F,спасла́сь
Past N,спасло́сь
Past PL,спасли́сь
Imp S,спаси́сь
Imp PL,спаси́тесь
