Infinitive,ни́кнуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ни́кнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ни́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ни́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ни́кнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ни́кну
2nd Sing,ни́кнешь
3rd Sing,ни́кнет
1st Pl,ни́кнем
2nd Pl,ни́кнете
3rd Pl,ни́кнут
Past M,ни́к
Past F,ни́кла
Past N,ни́кло
Past PL,ни́кли
Imp S,ни́кни
Imp PL,ни́кните
