Infinitive,ниспосла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ниспосла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ниспо́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ниспосла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ниспосла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ниспослю́
2nd Sing,ниспослёшь
3rd Sing,ниспослёт
1st Pl,ниспослём
2nd Pl,ниспослёте
3rd Pl,ниспослю́т
Past M,ниспосла́л
Past F,ниспосла́ла
Past N,ниспосла́ло
Past PL,ниспосла́ли
Imp S,ниспосли́
Imp PL,ниспосли́те
