Infinitive,диви́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дивя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,диви́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дивя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,диви́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дивлю́сь
2nd Sing,диви́шься
3rd Sing,диви́тся
1st Pl,диви́мся
2nd Pl,диви́тесь
3rd Pl,дивя́тся
Past M,диви́лся
Past F,диви́лась
Past N,диви́лось
Past PL,диви́лись
Imp S,диви́сь
Imp PL,диви́тесь
