Infinitive,дискути́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дискути́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дискути́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дискути́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дискути́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дискути́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дискути́рую
2nd Sing,дискути́руешь
3rd Sing,дискути́рует
1st Pl,дискути́руем
2nd Pl,дискути́руете
3rd Pl,дискути́руют
Past M,дискути́ровал
Past F,дискути́ровала
Past N,дискути́ровало
Past PL,дискути́ровали
Imp S,дискути́руй
Imp PL,дискути́руйте
