Infinitive,дирижи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дирижи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дирижи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дирижи́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дирижи́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дирижи́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дирижи́рую
2nd Sing,дирижи́руешь
3rd Sing,дирижи́рует
1st Pl,дирижи́руем
2nd Pl,дирижи́руете
3rd Pl,дирижи́руют
Past M,дирижи́ровал
Past F,дирижи́ровала
Past N,дирижи́ровало
Past PL,дирижи́ровали
Imp S,дирижи́руй
Imp PL,дирижи́руйте
