Infinitive,диктова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дикту́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,диктова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дикту́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,диктова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дикту́юсь
2nd Sing,дикту́ешься
3rd Sing,дикту́ется
1st Pl,дикту́емся
2nd Pl,дикту́етесь
3rd Pl,дикту́ются
Past M,диктова́лся
Past F,диктова́лась
Past N,диктова́лось
Past PL,диктова́лись
Imp S,дикту́йся
Imp PL,дикту́йтесь
