Infinitive,гуля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гуля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гуля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гуля́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гуля́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,гуля́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,гуля́ю
2nd Sing,гуля́ешь
3rd Sing,гуля́ет
1st Pl,гуля́ем
2nd Pl,гуля́ете
3rd Pl,гуля́ют
Past M,гуля́л
Past F,гуля́ла
Past N,гуля́ло
Past PL,гуля́ли
Imp S,гуля́й
Imp PL,гуля́йте
