Infinitive,венча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,венча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,венча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,венча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,венча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,венча́юсь
2nd Sing,венча́ешься
3rd Sing,венча́ется
1st Pl,венча́емся
2nd Pl,венча́етесь
3rd Pl,венча́ются
Past M,венча́лся
Past F,венча́лась
Past N,венча́лось
Past PL,венча́лись
Imp S,венча́йся
Imp PL,венча́йтесь
