Infinitive,вечере́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вечере́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вечере́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вечере́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вечере́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вечере́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вечере́ю
2nd Sing,вечере́ешь
3rd Sing,вечере́ет
1st Pl,вечере́ем
2nd Pl,вечере́ете
3rd Pl,вечере́ют
Past M,вечере́л
Past F,вечере́ла
Past N,вечере́ло
Past PL,вечере́ли
Imp S,вечере́й
Imp PL,вечере́йте
