Infinitive,ве́ять
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ве́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ве́явший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ве́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ве́янный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,ве́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,ве́яв
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,ве́явши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,ве́ю
2nd Sing,ве́ешь
3rd Sing,ве́ет
1st Pl,ве́ем
2nd Pl,ве́ете
3rd Pl,ве́ют
Past M,ве́ял
Past F,ве́яла
Past N,ве́яло
Past PL,ве́яли
Imp S,ве́й
Imp PL,ве́йте
