Infinitive,ветви́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ветвя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ветви́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ветвя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ветви́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ветвлю́сь
2nd Sing,ветви́шься
3rd Sing,ветви́тся
1st Pl,ветви́мся
2nd Pl,ветви́тесь
3rd Pl,ветвя́тся
Past M,ветви́лся
Past F,ветви́лась
Past N,ветви́лось
Past PL,ветви́лись
Imp S,ветви́сь
Imp PL,ветви́тесь
