Infinitive,ве́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ве́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ве́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ве́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ве́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ве́рюсь
2nd Sing,ве́ришься
3rd Sing,ве́рится
1st Pl,ве́римся
2nd Pl,ве́ритесь
3rd Pl,ве́рятся
Past M,ве́рился
Past F,ве́рилась
Past N,ве́рилось
Past PL,ве́рились
Imp S,ве́рься
Imp PL,ве́рьтесь
