Infinitive,верте́ть
Zaliznyak Class,5c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вертя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,верте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,верти́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ве́рченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,вертя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,верте́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,верте́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,верчу́
2nd Sing,ве́ртишь
3rd Sing,ве́ртит
1st Pl,ве́ртим
2nd Pl,ве́ртите
3rd Pl,ве́ртят
Past M,верте́л
Past F,верте́ла
Past N,верте́ло
Past PL,верте́ли
Imp S,верти́
Imp PL,верти́те
