Infinitive,велича́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,велича́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,велича́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,велича́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,велича́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,велича́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,велича́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,велича́ю
2nd Sing,велича́ешь
3rd Sing,велича́ет
1st Pl,велича́ем
2nd Pl,велича́ете
3rd Pl,велича́ют
Past M,велича́л
Past F,велича́ла
Past N,велича́ло
Past PL,велича́ли
Imp S,велича́й
Imp PL,велича́йте
