Infinitive,ве́шаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ве́шающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ве́шавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ве́шаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ве́шавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ве́шаюсь
2nd Sing,ве́шаешься
3rd Sing,ве́шается
1st Pl,ве́шаемся
2nd Pl,ве́шаетесь
3rd Pl,ве́шаются
Past M,ве́шался
Past F,ве́шалась
Past N,ве́шалось
Past PL,ве́шались
Imp S,ве́шайся
Imp PL,ве́шайтесь
