Infinitive,ве́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ве́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ве́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ве́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ве́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ве́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ве́рую
2nd Sing,ве́руешь
3rd Sing,ве́рует
1st Pl,ве́руем
2nd Pl,ве́руете
3rd Pl,ве́руют
Past M,ве́ровал
Past F,ве́ровала
Past N,ве́ровало
Past PL,ве́ровали
Imp S,ве́руй
Imp PL,ве́руйте
