Infinitive,ве́сить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ве́сящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ве́сивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ве́ся
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ве́сив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ве́сивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ве́шу
2nd Sing,ве́сишь
3rd Sing,ве́сит
1st Pl,ве́сим
2nd Pl,ве́сите
3rd Pl,ве́сят
Past M,ве́сил
Past F,ве́сила
Past N,ве́сило
Past PL,ве́сили
Imp S,ве́сь
Imp PL,ве́сьте
