Infinitive,верте́ться
Zaliznyak Class,5c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вертя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,верте́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вертя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,верте́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,верчу́сь
2nd Sing,ве́ртишься
3rd Sing,ве́ртится
1st Pl,ве́ртимся
2nd Pl,ве́ртитесь
3rd Pl,ве́ртятся
Past M,верте́лся
Past F,верте́лась
Past N,верте́лось
Past PL,верте́лись
Imp S,верти́сь
Imp PL,верти́тесь
