Infinitive,верну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,верну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,верну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,верну́сь
2nd Sing,вернёшься
3rd Sing,вернётся
1st Pl,вернёмся
2nd Pl,вернётесь
3rd Pl,верну́тся
Past M,верну́лся
Past F,верну́лась
Past N,верну́лось
Past PL,верну́лись
Imp S,верни́сь
Imp PL,верни́тесь
