Infinitive,весели́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,веселя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,весели́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,веселя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,весели́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,веселю́сь
2nd Sing,весели́шься
3rd Sing,весели́тся
1st Pl,весели́мся
2nd Pl,весели́тесь
3rd Pl,веселя́тся
Past M,весели́лся
Past F,весели́лась
Past N,весели́лось
Past PL,весели́лись
Imp S,весели́сь
Imp PL,весели́тесь
