Infinitive,жда́ть
Zaliznyak Class,6°b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,жду́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,жда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,жду́
2nd Sing,ждёшь
3rd Sing,ждёт
1st Pl,ждём
2nd Pl,ждёте
3rd Pl,жду́т
Past M,жда́л
Past F,ждала́
Past N,жда́ло
Past PL,жда́ли
Imp S,жди́
Imp PL,жди́те
