Infinitive,хихи́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хихи́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хихи́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хихи́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хихи́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хихи́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хихи́каю
2nd Sing,хихи́каешь
3rd Sing,хихи́кает
1st Pl,хихи́каем
2nd Pl,хихи́каете
3rd Pl,хихи́кают
Past M,хихи́кал
Past F,хихи́кала
Past N,хихи́кало
Past PL,хихи́кали
Imp S,хихи́кай
Imp PL,хихи́кайте
