Infinitive,хихи́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хихи́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хихи́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,хихи́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,хихи́кну
2nd Sing,хихи́кнешь
3rd Sing,хихи́кнет
1st Pl,хихи́кнем
2nd Pl,хихи́кнете
3rd Pl,хихи́кнут
Past M,хихи́кнул
Past F,хихи́кнула
Past N,хихи́кнуло
Past PL,хихи́кнули
Imp S,хихи́кни
Imp PL,хихи́кните
