Infinitive,хитри́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хитря́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хитри́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хитря́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хитри́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хитри́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хитрю́
2nd Sing,хитри́шь
3rd Sing,хитри́т
1st Pl,хитри́м
2nd Pl,хитри́те
3rd Pl,хитря́т
Past M,хитри́л
Past F,хитри́ла
Past N,хитри́ло
Past PL,хитри́ли
Imp S,хитри́
Imp PL,хитри́те
