Infinitive,цара́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,цара́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,цара́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,цара́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,цара́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,цара́пну
2nd Sing,цара́пнешь
3rd Sing,цара́пнет
1st Pl,цара́пнем
2nd Pl,цара́пнете
3rd Pl,цара́пнут
Past M,цара́пнул
Past F,цара́пнула
Past N,цара́пнуло
Past PL,цара́пнули
Imp S,цара́пни
Imp PL,цара́пните
