Infinitive,ца́рствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ца́рствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ца́рствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ца́рствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ца́рствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ца́рствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ца́рствую
2nd Sing,ца́рствуешь
3rd Sing,ца́рствует
1st Pl,ца́рствуем
2nd Pl,ца́рствуете
3rd Pl,ца́рствуют
Past M,ца́рствовал
Past F,ца́рствовала
Past N,ца́рствовало
Past PL,ца́рствовали
Imp S,ца́рствуй
Imp PL,ца́рствуйте
