Infinitive,цара́паться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,цара́пающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,цара́павшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,цара́паясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,цара́павшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,цара́паюсь
2nd Sing,цара́паешься
3rd Sing,цара́пается
1st Pl,цара́паемся
2nd Pl,цара́паетесь
3rd Pl,цара́паются
Past M,цара́пался
Past F,цара́палась
Past N,цара́палось
Past PL,цара́пались
Imp S,цара́пайся
Imp PL,цара́пайтесь
