Infinitive,ужа́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ужа́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ужа́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ужа́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ужа́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ужа́лю
2nd Sing,ужа́лишь
3rd Sing,ужа́лит
1st Pl,ужа́лим
2nd Pl,ужа́лите
3rd Pl,ужа́лят
Past M,ужа́лил
Past F,ужа́лила
Past N,ужа́лило
Past PL,ужа́лили
Imp S,ужа́ль
Imp PL,ужа́льте
