Infinitive,ужасну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ужасну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ужасну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ужасну́сь
2nd Sing,ужаснёшься
3rd Sing,ужаснётся
1st Pl,ужаснёмся
2nd Pl,ужаснётесь
3rd Pl,ужасну́тся
Past M,ужасну́лся
Past F,ужасну́лась
Past N,ужасну́лось
Past PL,ужасну́лись
Imp S,ужасни́сь
Imp PL,ужасни́тесь
