Infinitive,ужи́ться
Zaliznyak Class,16b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ужи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ужи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уживу́сь
2nd Sing,уживёшься
3rd Sing,уживётся
1st Pl,уживёмся
2nd Pl,уживётесь
3rd Pl,уживу́тся
Past M,ужи́лся
Past F,ужила́сь
Past N,ужило́сь
Past PL,ужили́сь
Imp S,уживи́сь
Imp PL,уживи́тесь
